name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-02-02,30.0,17.0,23.7,29.6,17.0,23.6,15.9,66.0,0.0,0,0.0,,0,0,21.2,11.1,111.7,1015.8,32.0,4.9,266.9,23.0,9,10.0,2022-02-02T06:45:47,2022-02-02T18:21:02,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-03,28.0,18.0,22.8,28.5,18.0,23.0,17.2,72.6,0.0,0,0.0,,0,0,26.3,11.3,191.4,1015.3,47.1,4.6,259.7,22.5,9,10.0,2022-02-03T06:45:37,2022-02-03T18:21:26,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-04,30.9,17.0,23.9,29.3,17.0,23.5,12.2,53.8,0.0,0,0.0,,0,0,28.1,18.4,261.3,1014.0,19.9,6.3,278.6,24.1,10,10.0,2022-02-04T06:45:26,2022-02-04T18:21:50,0.1,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-05,30.3,16.5,23.2,29.6,16.5,23.1,15.3,65.1,0.0,0,0.0,,0,0,26.6,14.3,100.3,1014.6,25.2,5.1,269.0,23.2,9,10.0,2022-02-05T06:45:13,2022-02-05T18:22:13,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-06,28.0,19.0,23.1,28.2,19.0,23.1,16.8,70.7,0.0,0,0.0,,0,0,31.3,17.8,103.0,1017.0,47.2,5.7,197.4,16.9,7,10.0,2022-02-06T06:45:00,2022-02-06T18:22:36,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-07,28.9,18.0,23.0,29.0,18.0,23.0,16.7,70.8,0.0,0,0.0,rain,0,0,30.2,20.0,87.7,1017.7,47.9,5.3,203.2,17.7,7,10.0,2022-02-07T06:44:45,2022-02-07T18:22:58,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-08,29.9,17.0,22.6,29.1,17.0,22.6,15.7,68.7,0.0,0,0.0,,0,0,21.2,16.2,90.7,1016.6,49.7,5.4,257.2,22.3,9,10.0,2022-02-08T06:44:30,2022-02-08T18:23:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-09,28.9,16.0,22.0,28.7,16.0,22.0,15.2,68.3,0.0,0,0.0,,0,0,31.3,17.7,95.9,1016.2,39.1,6.0,270.9,23.3,9,10.0,2022-02-09T06:44:13,2022-02-09T18:23:40,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-10,29.9,15.9,22.2,28.2,15.9,21.8,11.5,58.5,0.0,0,0.0,,0,0,27.0,14.9,72.2,1015.9,17.1,6.0,277.5,23.9,10,10.0,2022-02-10T06:43:56,2022-02-10T18:24:00,0.29,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-11,29.3,14.0,22.3,27.7,14.0,22.0,9.2,48.2,0.0,0,0.0,,0,0,42.1,24.0,70.9,1015.8,14.8,6.4,278.3,23.9,10,10.0,2022-02-11T06:43:37,2022-02-11T18:24:19,0.32,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-12,28.9,16.0,22.5,28.3,16.0,22.4,13.5,60.6,0.0,0,0.0,,0,0,40.7,22.3,83.3,1015.4,22.9,6.8,276.7,24.0,9,10.0,2022-02-12T06:43:18,2022-02-12T18:24:38,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
